Houston_Dynamo          HOU
Columbus_Crew           CLB
Toronto_FC              TOR
Philadelphia_Union      PHI
Sporting_Kansas_City    SKC
Chicago_Fire            CHI
New_York_Red_Bulls      NY
New_England_Revolution  NE
Montreal_Impact         MTL
DC_United               DC
FC_Dallas               DAL
Seattle_Sounders_FC     SEA
Vancouver_Whitecaps     VAN
Real_Salt_Lake          RSL
Colorado_Rapids         COL
Chivas_USA              CHV
Portland_Timbers        POR
San_Jose_Earthquakes    SJ
LA_Galaxy               LA
